Year Awarded,Name,Affiliation,HPCWire Bio/Interview,Wikipedia Link,Affiliation Link
2017,Andrew Ng,Baidu,,https://en.wikipedia.org/wiki/Andrew_Ng,https://en.wikipedia.org/wiki/Baidu
2017,Kirk Skaugen,Lenovo,,,https://en.wikipedia.org/wiki/Lenovo
2017,Avinash Sodani,Cavium,,,https://en.wikipedia.org/wiki/Cavium
2017,Lisa Su,AMD,,https://en.wikipedia.org/wiki/Lisa_Su,https://en.wikipedia.org/wiki/AMD
2017,Jeffrey Vetter,Oak Ridge National Laboratory,,https://en.wikipedia.org/wiki/Jeffrey_Vetter,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2017,Guangwen Yang,National Supercomputing Center in Wuxi,,,https://en.wikipedia.org/wiki/Supercomputing_in_China
2018,Antonio Neri,HPE,,https://en.wikipedia.org/wiki/Antonio_Neri_(businessman),https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
2018,Bob Picciano,IBM,,,https://en.wikipedia.org/wiki/IBM
2018,Brett Tanzer,Microsoft,,,https://en.wikipedia.org/wiki/Microsoft
2018,Dan Stanzione,Texas Advanced Computing Center,,,https://en.wikipedia.org/wiki/Texas_Advanced_Computing_Center
2018,Diane Bryant,Google,,https://en.wikipedia.org/wiki/Diane_Bryant,https://en.wikipedia.org/wiki/Google
2018,Doug Kothe,Oak Ridge National Laboratory,,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2018,Earl Joseph,Hyperion,,,
2018,Frederick Kohout,Cray,,,https://en.wikipedia.org/wiki/Cray
2018,Ian Colle,Amazon,,,https://en.wikipedia.org/wiki/Amazon_(company)
2018,Jysoo Lee,King Abdullah University of Science and Technology,,,https://en.wikipedia.org/wiki/King_Abdullah_University_of_Science_and_Technology
2018,Marc Hamilton,NVIDIA,,,https://en.wikipedia.org/wiki/Nvidia
2018,Ralph McEldowney,Department of Defense,,,https://en.wikipedia.org/wiki/United_States_Department_of_Defense
2018,Rick Stevens,Argonne National Laboratory,,https://en.wikipedia.org/wiki/Rick_Stevens,https://en.wikipedia.org/wiki/Argonne_National_Laboratory
2018,Scott Aylor,AMD,,,https://en.wikipedia.org/wiki/AMD
2018,Trish Damkroger,Intel,,,https://en.wikipedia.org/wiki/Intel
2019,Lori Diachin,Lawrence Livermore National Laboratory,,https://en.wikipedia.org/wiki/Lori_Diachin,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
2019,Talia Gershon,IBM,,,https://en.wikipedia.org/wiki/IBM
2019,Gopal Hegde,Cavium/Marvell,,,https://en.wikipedia.org/wiki/Cavium
2019,Steve Oberlin,NVIDIA,,,https://en.wikipedia.org/wiki/Nvidia
2019,Jim Keller,Intel,,https://en.wikipedia.org/wiki/Jim_Keller_(engineer),https://en.wikipedia.org/wiki/Intel
2019,Ken King,IBM,,,https://en.wikipedia.org/wiki/IBM
2019,Gregory Kurtzer,Sylabs/Singularity,,,https://en.wikipedia.org/wiki/Singularity_(software)
2019,Forrest Norrod,AMD,,,https://en.wikipedia.org/wiki/AMD
2019,Thierry Pellegrino,Dell,,,https://en.wikipedia.org/wiki/Dell
2019,Michela Taufer,University of Tennessee,,https://en.wikipedia.org/wiki/Michela_Taufer,https://en.wikipedia.org/wiki/University_of_Tennessee
2019,Steve Scott,Cray,,https://en.wikipedia.org/wiki/Steve_Scott_(computer_architect),https://en.wikipedia.org/wiki/Cray
2019,Jack Wells,Oak Ridge National Laboratory,,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2020,Toshiyuki Shimizu,Fujitsu,https://www.hpcwire.com/people-to-watch-2020/,,https://en.wikipedia.org/wiki/Fujitsu
2020,Mark Papermaster,AMD,https://www.hpcwire.com/people-to-watch-2020/,https://en.wikipedia.org/wiki/Mark_Papermaster,https://en.wikipedia.org/wiki/AMD
2020,Andrew Feldman,Cerebras Systems,https://www.hpcwire.com/people-to-watch-2020/,,https://en.wikipedia.org/wiki/Cerebras
2020,Evan Burness,Microsoft,https://www.hpcwire.com/people-to-watch-2020/,,https://en.wikipedia.org/wiki/Microsoft
2020,Pete Ungaro,HPE,https://www.hpcwire.com/people-to-watch-2020/,https://en.wikipedia.org/wiki/Peter_Ungaro,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
2020,Prith Banerjee,ANSYS,https://www.hpcwire.com/people-to-watch-2020/,https://en.wikipedia.org/wiki/Prith_Banerjee,https://en.wikipedia.org/wiki/Ansys
